Fecha,Producto,Categoria,Region,Vendedor,Unidades,Precio_Unitario,Ingresos,Costo,Utilidad,Mes,Trimestre,Año
2023-01-10,Laptop,Computadoras,Sur,Ana,8,899.99,7199.92,4097.62,3102.3,1,1,2023
2023-01-10,Mouse,Accesorios,Oeste,Luis,6,29.99,179.94,96.9,83.04,1,1,2023
2023-01-10,Teclado,Accesorios,Oeste,Carlos,5,79.99,399.95,194.37,205.58,1,1,2023
2023-01-11,Laptop,Computadoras,Norte,María,15,899.99,13499.85,7216.93,6282.92,1,1,2023
2023-01-11,Mouse,Accesorios,Norte,Ana,15,29.99,449.85,204.72,245.13,1,1,2023
2023-01-11,Teclado,Accesorios,Oeste,Pedro,2,79.99,159.98,73.79,86.19,1,1,2023
2023-01-12,Laptop,Computadoras,Sur,Pedro,1,899.99,899.99,502.01,397.98,1,1,2023
2023-01-12,Mouse,Accesorios,Sur,Luis,11,29.99,329.89,161.41,168.48,1,1,2023
2023-01-12,Teclado,Accesorios,Norte,Carlos,10,79.99,799.9,447.68,352.22,1,1,2023
2023-01-13,Laptop,Computadoras,Oeste,Ana,18,899.99,16199.82,9144.55,7055.27,1,1,2023
2023-01-13,Mouse,Accesorios,Norte,Carlos,18,29.99,539.82,308.51,231.31,1,1,2023
2023-01-13,Teclado,Accesorios,Norte,Ana,17,79.99,1359.83,793.23,566.6,1,1,2023
2023-01-14,Laptop,Computadoras,Este,Luis,8,899.99,7199.92,3500.58,3699.34,1,1,2023
2023-01-14,Mouse,Accesorios,Este,Luis,15,29.99,449.85,208.63,241.22,1,1,2023
2023-01-14,Teclado,Accesorios,Este,Pedro,8,79.99,639.92,330.48,309.44,1,1,2023
2023-01-15,Laptop,Computadoras,Sur,Carlos,17,899.99,15299.83,7255.71,8044.12,1,1,2023
2023-01-15,Mouse,Accesorios,Oeste,Pedro,12,29.99,359.88,187.21,172.67,1,1,2023
2023-01-15,Teclado,Accesorios,Oeste,Carlos,8,79.99,639.92,346.27,293.65,1,1,2023
2023-01-16,Laptop,Computadoras,Oeste,Pedro,14,899.99,12599.86,6774.71,5825.15,1,1,2023
2023-01-16,Mouse,Accesorios,Oeste,María,4,29.99,119.96,56.97,62.99,1,1,2023
2023-01-16,Teclado,Accesorios,Este,María,1,79.99,79.99,34.67,45.32,1,1,2023
2023-01-17,Laptop,Computadoras,Sur,María,1,899.99,899.99,437.49,462.5,1,1,2023
2023-01-17,Mouse,Accesorios,Sur,María,19,29.99,569.81,244.17,325.64,1,1,2023
2023-01-17,Teclado,Accesorios,Este,Ana,16,79.99,1279.84,739.77,540.07,1,1,2023
2023-01-18,Laptop,Computadoras,Sur,María,14,899.99,12599.86,5911.55,6688.31,1,1,2023
2023-01-18,Mouse,Accesorios,Este,Luis,16,29.99,479.84,206.76,273.08,1,1,2023
2023-01-18,Teclado,Accesorios,Oeste,Luis,5,79.99,399.95,162.02,237.93,1,1,2023
2023-01-19,Laptop,Computadoras,Este,Ana,9,899.99,8099.91,4286.18,3813.73,1,1,2023
2023-01-19,Mouse,Accesorios,Oeste,María,2,29.99,59.98,31.63,28.35,1,1,2023
2023-01-19,Teclado,Accesorios,Oeste,María,18,79.99,1439.82,674.01,765.81,1,1,2023
2023-01-20,Laptop,Computadoras,Norte,María,6,899.99,5399.94,2237.42,3162.52,1,1,2023
2023-01-20,Mouse,Accesorios,Este,Pedro,9,29.99,269.91,130.08,139.83,1,1,2023
2023-01-20,Teclado,Accesorios,Norte,Carlos,1,79.99,79.99,36.97,43.02,1,1,2023
2023-01-21,Laptop,Computadoras,Este,Pedro,9,899.99,8099.91,4336.89,3763.02,1,1,2023
2023-01-21,Mouse,Accesorios,Este,Carlos,16,29.99,479.84,250.07,229.77,1,1,2023
2023-01-21,Teclado,Accesorios,Norte,María,13,79.99,1039.87,491.77,548.1,1,1,2023
2023-01-22,Laptop,Computadoras,Norte,María,9,899.99,8099.91,3592.95,4506.96,1,1,2023
2023-01-22,Mouse,Accesorios,Este,Pedro,13,29.99,389.87,232.99,156.88,1,1,2023
2023-01-22,Teclado,Accesorios,Sur,Pedro,9,79.99,719.91,353.33,366.58,1,1,2023
2023-01-23,Laptop,Computadoras,Oeste,Carlos,11,899.99,9899.89,5322.72,4577.17,1,1,2023
2023-01-23,Mouse,Accesorios,Norte,Luis,4,29.99,119.96,51.36,68.6,1,1,2023
2023-01-23,Teclado,Accesorios,Oeste,Carlos,2,79.99,159.98,79.53,80.45,1,1,2023
2023-01-24,Laptop,Computadoras,Sur,Pedro,6,899.99,5399.94,2189.72,3210.22,1,1,2023
2023-01-24,Mouse,Accesorios,Sur,Pedro,14,29.99,419.86,210.39,209.47,1,1,2023
2023-01-24,Teclado,Accesorios,Sur,Ana,4,79.99,319.96,189.67,130.29,1,1,2023
2023-01-25,Laptop,Computadoras,Norte,Pedro,6,899.99,5399.94,2574.91,2825.03,1,1,2023
2023-01-25,Mouse,Accesorios,Sur,Ana,19,29.99,569.81,232.37,337.44,1,1,2023
2023-01-25,Teclado,Accesorios,Norte,Luis,6,79.99,479.94,194.95,284.99,1,1,2023
2023-01-26,Laptop,Computadoras,Sur,Carlos,2,899.99,1799.98,859.67,940.31,1,1,2023
2023-01-26,Mouse,Accesorios,Oeste,Carlos,18,29.99,539.82,233.2,306.62,1,1,2023
2023-01-26,Teclado,Accesorios,Oeste,Ana,13,79.99,1039.87,420.8,619.07,1,1,2023
2023-01-27,Laptop,Computadoras,Este,Carlos,9,899.99,8099.91,4465.02,3634.89,1,1,2023
2023-01-27,Mouse,Accesorios,Oeste,Pedro,19,29.99,569.81,280.18,289.63,1,1,2023
2023-01-27,Teclado,Accesorios,Este,María,13,79.99,1039.87,476.1,563.77,1,1,2023
2023-01-28,Laptop,Computadoras,Oeste,Ana,11,899.99,9899.89,5742.1,4157.79,1,1,2023
2023-01-28,Mouse,Accesorios,Norte,Carlos,1,29.99,29.99,12.69,17.3,1,1,2023
2023-01-28,Teclado,Accesorios,Oeste,Ana,7,79.99,559.93,331.02,228.91,1,1,2023
2023-01-29,Laptop,Computadoras,Este,Ana,15,899.99,13499.85,6247.64,7252.21,1,1,2023
2023-01-29,Mouse,Accesorios,Este,María,1,29.99,29.99,17.32,12.67,1,1,2023
2023-01-29,Teclado,Accesorios,Sur,Pedro,12,79.99,959.88,499.7,460.18,1,1,2023
2023-01-30,Laptop,Computadoras,Norte,Ana,7,899.99,6299.93,3561.61,2738.32,1,1,2023
2023-01-30,Mouse,Accesorios,Oeste,Carlos,15,29.99,449.85,268.47,181.38,1,1,2023
2023-01-30,Teclado,Accesorios,Sur,Luis,19,79.99,1519.81,695.59,824.22,1,1,2023
2023-01-31,Laptop,Computadoras,Oeste,Ana,1,899.99,899.99,533.0,366.99,1,1,2023
2023-01-31,Mouse,Accesorios,Oeste,Ana,17,29.99,509.83,243.65,266.18,1,1,2023
2023-01-31,Teclado,Accesorios,Sur,María,17,79.99,1359.83,648.78,711.05,1,1,2023
2023-02-01,Laptop,Computadoras,Sur,Pedro,3,899.99,2699.97,1263.79,1436.18,2,1,2023
2023-02-01,Mouse,Accesorios,Sur,Luis,12,29.99,359.88,182.92,176.96,2,1,2023
2023-02-01,Teclado,Accesorios,Sur,Carlos,6,79.99,479.94,206.77,273.17,2,1,2023
2023-02-02,Laptop,Computadoras,Sur,Luis,11,899.99,9899.89,5056.29,4843.6,2,1,2023
2023-02-02,Mouse,Accesorios,Oeste,Carlos,3,29.99,89.97,45.74,44.23,2,1,2023
2023-02-02,Teclado,Accesorios,Sur,Pedro,8,79.99,639.92,353.48,286.44,2,1,2023
2023-02-03,Laptop,Computadoras,Norte,Carlos,14,899.99,12599.86,7140.72,5459.14,2,1,2023
2023-02-03,Mouse,Accesorios,Este,María,14,29.99,419.86,204.93,214.93,2,1,2023
2023-02-03,Teclado,Accesorios,Sur,María,10,79.99,799.9,368.33,431.57,2,1,2023
2023-02-04,Laptop,Computadoras,Sur,María,2,899.99,1799.98,813.35,986.63,2,1,2023
2023-02-04,Mouse,Accesorios,Oeste,María,14,29.99,419.86,184.29,235.57,2,1,2023
2023-02-04,Teclado,Accesorios,Sur,Luis,9,79.99,719.91,296.26,423.65,2,1,2023
2023-02-05,Laptop,Computadoras,Sur,Pedro,3,899.99,2699.97,1264.91,1435.06,2,1,2023
2023-02-05,Mouse,Accesorios,Sur,Carlos,8,29.99,239.92,108.94,130.98,2,1,2023
2023-02-05,Teclado,Accesorios,Oeste,Carlos,16,79.99,1279.84,759.31,520.53,2,1,2023
2023-02-06,Laptop,Computadoras,Sur,María,2,899.99,1799.98,920.76,879.22,2,1,2023
2023-02-06,Mouse,Accesorios,Este,María,6,29.99,179.94,84.47,95.47,2,1,2023
2023-02-06,Teclado,Accesorios,Oeste,Ana,12,79.99,959.88,495.39,464.49,2,1,2023
2023-02-07,Laptop,Computadoras,Este,Pedro,5,899.99,4499.95,1925.26,2574.69,2,1,2023
2023-02-07,Mouse,Accesorios,Oeste,Luis,2,29.99,59.98,29.32,30.66,2,1,2023
2023-02-07,Teclado,Accesorios,Sur,Carlos,16,79.99,1279.84,672.23,607.61,2,1,2023
2023-02-08,Laptop,Computadoras,Este,Ana,5,899.99,4499.95,2239.98,2259.97,2,1,2023
2023-02-08,Mouse,Accesorios,Oeste,Ana,15,29.99,449.85,216.09,233.76,2,1,2023
2023-02-08,Teclado,Accesorios,Norte,Carlos,12,79.99,959.88,574.75,385.13,2,1,2023
2023-02-09,Laptop,Computadoras,Sur,Luis,4,899.99,3599.96,2073.8,1526.16,2,1,2023
2023-02-09,Mouse,Accesorios,Oeste,Ana,15,29.99,449.85,236.03,213.82,2,1,2023
2023-02-09,Teclado,Accesorios,Norte,Ana,11,79.99,879.89,452.15,427.74,2,1,2023
2023-02-10,Laptop,Computadoras,Oeste,Pedro,16,899.99,14399.84,7547.42,6852.42,2,1,2023
2023-02-10,Mouse,Accesorios,Norte,Luis,6,29.99,179.94,79.22,100.72,2,1,2023
2023-02-10,Teclado,Accesorios,Sur,Ana,14,79.99,1119.86,536.44,583.42,2,1,2023
2023-02-11,Laptop,Computadoras,Este,Luis,18,899.99,16199.82,6607.78,9592.04,2,1,2023
2023-02-11,Mouse,Accesorios,Norte,Carlos,12,29.99,359.88,178.18,181.7,2,1,2023
2023-02-11,Teclado,Accesorios,Oeste,María,11,79.99,879.89,447.52,432.37,2,1,2023
2023-02-12,Laptop,Computadoras,Sur,Ana,13,899.99,11699.87,5212.88,6486.99,2,1,2023
2023-02-12,Mouse,Accesorios,Norte,Pedro,11,29.99,329.89,195.56,134.33,2,1,2023
2023-02-12,Teclado,Accesorios,Oeste,Carlos,16,79.99,1279.84,744.73,535.11,2,1,2023
2023-02-13,Laptop,Computadoras,Oeste,Luis,15,899.99,13499.85,7349.71,6150.14,2,1,2023
2023-02-13,Mouse,Accesorios,Oeste,Carlos,15,29.99,449.85,227.93,221.92,2,1,2023
2023-02-13,Teclado,Accesorios,Norte,Ana,4,79.99,319.96,183.66,136.3,2,1,2023
2023-02-14,Laptop,Computadoras,Norte,Luis,11,899.99,9899.89,4218.64,5681.25,2,1,2023
2023-02-14,Mouse,Accesorios,Norte,María,19,29.99,569.81,318.01,251.8,2,1,2023
2023-02-14,Teclado,Accesorios,Este,Carlos,15,79.99,1199.85,509.89,689.96,2,1,2023
2023-02-15,Laptop,Computadoras,Norte,Ana,4,899.99,3599.96,2011.81,1588.15,2,1,2023
2023-02-15,Mouse,Accesorios,Norte,Pedro,13,29.99,389.87,177.45,212.42,2,1,2023
2023-02-15,Teclado,Accesorios,Norte,Luis,19,79.99,1519.81,874.53,645.28,2,1,2023
2023-02-16,Laptop,Computadoras,Este,Carlos,2,899.99,1799.98,1059.84,740.14,2,1,2023
2023-02-16,Mouse,Accesorios,Norte,Carlos,14,29.99,419.86,180.44,239.42,2,1,2023
2023-02-16,Teclado,Accesorios,Oeste,María,4,79.99,319.96,157.59,162.37,2,1,2023
2023-02-17,Laptop,Computadoras,Norte,María,16,899.99,14399.84,8585.15,5814.69,2,1,2023
2023-02-17,Mouse,Accesorios,Oeste,Pedro,14,29.99,419.86,208.54,211.32,2,1,2023
2023-02-17,Teclado,Accesorios,Oeste,Pedro,15,79.99,1199.85,687.17,512.68,2,1,2023
2023-02-18,Laptop,Computadoras,Oeste,Ana,3,899.99,2699.97,1397.9,1302.07,2,1,2023
2023-02-18,Mouse,Accesorios,Este,Ana,8,29.99,239.92,113.98,125.94,2,1,2023
2023-02-18,Teclado,Accesorios,Este,Pedro,16,79.99,1279.84,585.09,694.75,2,1,2023
2023-02-19,Laptop,Computadoras,Este,Pedro,10,899.99,8999.9,3965.76,5034.14,2,1,2023
2023-02-19,Mouse,Accesorios,Norte,Luis,4,29.99,119.96,66.26,53.7,2,1,2023
2023-02-19,Teclado,Accesorios,Oeste,María,18,79.99,1439.82,687.24,752.58,2,1,2023
2023-02-20,Laptop,Computadoras,Este,Ana,2,899.99,1799.98,904.05,895.93,2,1,2023
2023-02-20,Mouse,Accesorios,Este,María,17,29.99,509.83,254.13,255.7,2,1,2023
2023-02-20,Teclado,Accesorios,Norte,María,13,79.99,1039.87,536.01,503.86,2,1,2023
2023-02-21,Laptop,Computadoras,Este,Pedro,4,899.99,3599.96,2063.19,1536.77,2,1,2023
2023-02-21,Mouse,Accesorios,Norte,Luis,11,29.99,329.89,196.66,133.23,2,1,2023
2023-02-21,Teclado,Accesorios,Sur,Carlos,7,79.99,559.93,269.62,290.31,2,1,2023
2023-02-22,Laptop,Computadoras,Este,Luis,12,899.99,10799.88,6107.37,4692.51,2,1,2023
2023-02-22,Mouse,Accesorios,Sur,Luis,10,29.99,299.9,165.82,134.08,2,1,2023
2023-02-22,Teclado,Accesorios,Norte,María,7,79.99,559.93,288.2,271.73,2,1,2023
2023-02-23,Laptop,Computadoras,Oeste,Luis,13,899.99,11699.87,6917.07,4782.8,2,1,2023
2023-02-23,Mouse,Accesorios,Este,Ana,7,29.99,209.93,92.39,117.54,2,1,2023
2023-02-23,Teclado,Accesorios,Norte,María,17,79.99,1359.83,573.65,786.18,2,1,2023
2023-02-24,Laptop,Computadoras,Oeste,Ana,10,899.99,8999.9,5137.07,3862.83,2,1,2023
2023-02-24,Mouse,Accesorios,Oeste,Carlos,10,29.99,299.9,146.3,153.6,2,1,2023
2023-02-24,Teclado,Accesorios,Sur,María,4,79.99,319.96,182.18,137.78,2,1,2023
2023-02-25,Laptop,Computadoras,Norte,Carlos,4,899.99,3599.96,2083.0,1516.96,2,1,2023
2023-02-25,Mouse,Accesorios,Oeste,María,7,29.99,209.93,86.59,123.34,2,1,2023
2023-02-25,Teclado,Accesorios,Este,Pedro,1,79.99,79.99,46.13,33.86,2,1,2023
2023-02-26,Laptop,Computadoras,Este,Luis,12,899.99,10799.88,5288.31,5511.57,2,1,2023
2023-02-26,Mouse,Accesorios,Sur,Pedro,13,29.99,389.87,195.75,194.12,2,1,2023
2023-02-26,Teclado,Accesorios,Oeste,Carlos,10,79.99,799.9,420.2,379.7,2,1,2023
2023-02-27,Laptop,Computadoras,Norte,Luis,15,899.99,13499.85,7901.15,5598.7,2,1,2023
2023-02-27,Mouse,Accesorios,Este,María,13,29.99,389.87,157.44,232.43,2,1,2023
2023-02-27,Teclado,Accesorios,Oeste,Luis,9,79.99,719.91,356.62,363.29,2,1,2023
2023-02-28,Laptop,Computadoras,Oeste,Ana,9,899.99,8099.91,4354.06,3745.85,2,1,2023
2023-02-28,Mouse,Accesorios,Sur,Luis,15,29.99,449.85,244.96,204.89,2,1,2023
2023-02-28,Teclado,Accesorios,Este,Ana,10,79.99,799.9,430.75,369.15,2,1,2023
2023-03-01,Laptop,Computadoras,Este,Luis,10,899.99,8999.9,3841.94,5157.96,3,1,2023
2023-03-01,Mouse,Accesorios,Norte,Ana,8,29.99,239.92,110.33,129.59,3,1,2023
2023-03-01,Teclado,Accesorios,Este,Carlos,16,79.99,1279.84,603.76,676.08,3,1,2023
2023-03-02,Laptop,Computadoras,Norte,Pedro,17,899.99,15299.83,8581.48,6718.35,3,1,2023
2023-03-02,Mouse,Accesorios,Este,María,5,29.99,149.95,68.34,81.61,3,1,2023
2023-03-02,Teclado,Accesorios,Sur,Luis,4,79.99,319.96,141.47,178.49,3,1,2023
2023-03-03,Laptop,Computadoras,Este,Pedro,18,899.99,16199.82,9582.03,6617.79,3,1,2023
2023-03-03,Mouse,Accesorios,Norte,María,19,29.99,569.81,228.93,340.88,3,1,2023
2023-03-03,Teclado,Accesorios,Norte,María,4,79.99,319.96,191.84,128.12,3,1,2023
2023-03-04,Laptop,Computadoras,Sur,Ana,7,899.99,6299.93,3372.76,2927.17,3,1,2023
2023-03-04,Mouse,Accesorios,Este,Carlos,10,29.99,299.9,169.65,130.25,3,1,2023
2023-03-04,Teclado,Accesorios,Este,Carlos,18,79.99,1439.82,660.77,779.05,3,1,2023
2023-03-05,Laptop,Computadoras,Sur,Pedro,19,899.99,17099.81,6888.88,10210.93,3,1,2023
2023-03-05,Mouse,Accesorios,Este,Carlos,4,29.99,119.96,65.69,54.27,3,1,2023
2023-03-05,Teclado,Accesorios,Este,Luis,10,79.99,799.9,453.41,346.49,3,1,2023
2023-03-06,Laptop,Computadoras,Norte,Carlos,1,899.99,899.99,493.28,406.71,3,1,2023
2023-03-06,Mouse,Accesorios,Este,Pedro,18,29.99,539.82,231.35,308.47,3,1,2023
2023-03-06,Teclado,Accesorios,Este,Carlos,5,79.99,399.95,220.25,179.7,3,1,2023
2023-03-07,Laptop,Computadoras,Sur,Luis,15,899.99,13499.85,7476.01,6023.84,3,1,2023
2023-03-07,Mouse,Accesorios,Sur,Ana,17,29.99,509.83,271.08,238.75,3,1,2023
2023-03-07,Teclado,Accesorios,Oeste,Pedro,3,79.99,239.97,132.76,107.21,3,1,2023
2023-03-08,Laptop,Computadoras,Norte,Ana,12,899.99,10799.88,6147.12,4652.76,3,1,2023
2023-03-08,Mouse,Accesorios,Este,Ana,2,29.99,59.98,31.35,28.63,3,1,2023
2023-03-08,Teclado,Accesorios,Este,Ana,1,79.99,79.99,33.41,46.58,3,1,2023
2023-03-09,Laptop,Computadoras,Oeste,María,17,899.99,15299.83,7612.06,7687.77,3,1,2023
2023-03-09,Mouse,Accesorios,Este,María,16,29.99,479.84,199.39,280.45,3,1,2023
2023-03-09,Teclado,Accesorios,Norte,Ana,5,79.99,399.95,192.58,207.37,3,1,2023
2023-03-10,Laptop,Computadoras,Oeste,Pedro,15,899.99,13499.85,6499.12,7000.73,3,1,2023
2023-03-10,Mouse,Accesorios,Norte,Luis,3,29.99,89.97,37.18,52.79,3,1,2023
2023-03-10,Teclado,Accesorios,Oeste,Luis,7,79.99,559.93,263.04,296.89,3,1,2023
2023-03-11,Laptop,Computadoras,Oeste,Carlos,11,899.99,9899.89,4179.73,5720.16,3,1,2023
2023-03-11,Mouse,Accesorios,Sur,Pedro,10,29.99,299.9,168.44,131.46,3,1,2023
2023-03-11,Teclado,Accesorios,Norte,María,9,79.99,719.91,424.41,295.5,3,1,2023
2023-03-12,Laptop,Computadoras,Este,Ana,14,899.99,12599.86,5222.18,7377.68,3,1,2023
2023-03-12,Mouse,Accesorios,Este,Carlos,13,29.99,389.87,230.42,159.45,3,1,2023
2023-03-12,Teclado,Accesorios,Norte,Luis,2,79.99,159.98,80.71,79.27,3,1,2023
2023-03-13,Laptop,Computadoras,Este,María,3,899.99,2699.97,1241.75,1458.22,3,1,2023
2023-03-13,Mouse,Accesorios,Este,María,7,29.99,209.93,87.2,122.73,3,1,2023
2023-03-13,Teclado,Accesorios,Norte,Ana,18,79.99,1439.82,720.09,719.73,3,1,2023
2023-03-14,Laptop,Computadoras,Oeste,Luis,3,899.99,2699.97,1509.02,1190.95,3,1,2023
2023-03-14,Mouse,Accesorios,Norte,Pedro,10,29.99,299.9,162.37,137.53,3,1,2023
2023-03-14,Teclado,Accesorios,Oeste,María,7,79.99,559.93,229.6,330.33,3,1,2023
2023-03-15,Laptop,Computadoras,Este,Ana,9,899.99,8099.91,3358.06,4741.85,3,1,2023
2023-03-15,Mouse,Accesorios,Este,Pedro,17,29.99,509.83,245.01,264.82,3,1,2023
2023-03-15,Teclado,Accesorios,Este,Luis,11,79.99,879.89,403.92,475.97,3,1,2023
2023-03-16,Laptop,Computadoras,Sur,María,7,899.99,6299.93,2812.77,3487.16,3,1,2023
2023-03-16,Mouse,Accesorios,Oeste,Pedro,14,29.99,419.86,191.54,228.32,3,1,2023
2023-03-16,Teclado,Accesorios,Sur,Pedro,19,79.99,1519.81,852.15,667.66,3,1,2023
2023-03-17,Laptop,Computadoras,Sur,Pedro,4,899.99,3599.96,2109.02,1490.94,3,1,2023
2023-03-17,Mouse,Accesorios,Norte,María,6,29.99,179.94,86.55,93.39,3,1,2023
2023-03-17,Teclado,Accesorios,Sur,María,10,79.99,799.9,464.92,334.98,3,1,2023
2023-03-18,Laptop,Computadoras,Norte,Carlos,7,899.99,6299.93,2925.05,3374.88,3,1,2023
2023-03-18,Mouse,Accesorios,Norte,Luis,13,29.99,389.87,193.1,196.77,3,1,2023
2023-03-18,Teclado,Accesorios,Sur,Ana,14,79.99,1119.86,498.57,621.29,3,1,2023
2023-03-19,Laptop,Computadoras,Oeste,Pedro,4,899.99,3599.96,1901.12,1698.84,3,1,2023
2023-03-19,Mouse,Accesorios,Oeste,Carlos,8,29.99,239.92,142.94,96.98,3,1,2023
2023-03-19,Teclado,Accesorios,Oeste,Ana,5,79.99,399.95,208.25,191.7,3,1,2023
2023-03-20,Laptop,Computadoras,Oeste,Carlos,1,899.99,899.99,424.4,475.59,3,1,2023
2023-03-20,Mouse,Accesorios,Oeste,María,4,29.99,119.96,63.53,56.43,3,1,2023
2023-03-20,Teclado,Accesorios,Sur,Pedro,3,79.99,239.97,101.89,138.08,3,1,2023
2023-03-21,Laptop,Computadoras,Sur,Ana,9,899.99,8099.91,4679.58,3420.33,3,1,2023
2023-03-21,Mouse,Accesorios,Este,Ana,8,29.99,239.92,120.11,119.81,3,1,2023
2023-03-21,Teclado,Accesorios,Oeste,Ana,1,79.99,79.99,39.18,40.81,3,1,2023
2023-03-22,Laptop,Computadoras,Sur,Ana,6,899.99,5399.94,2792.7,2607.24,3,1,2023
2023-03-22,Mouse,Accesorios,Este,Ana,9,29.99,269.91,141.69,128.22,3,1,2023
2023-03-22,Teclado,Accesorios,Oeste,Carlos,7,79.99,559.93,232.01,327.92,3,1,2023
2023-03-23,Laptop,Computadoras,Norte,Pedro,4,899.99,3599.96,1931.46,1668.5,3,1,2023
2023-03-23,Mouse,Accesorios,Este,María,13,29.99,389.87,174.81,215.06,3,1,2023
2023-03-23,Teclado,Accesorios,Sur,María,17,79.99,1359.83,738.1,621.73,3,1,2023
2023-03-24,Laptop,Computadoras,Norte,María,2,899.99,1799.98,1016.1,783.88,3,1,2023
2023-03-24,Mouse,Accesorios,Norte,María,5,29.99,149.95,84.09,65.86,3,1,2023
2023-03-24,Teclado,Accesorios,Norte,Carlos,12,79.99,959.88,490.02,469.86,3,1,2023
2023-03-25,Laptop,Computadoras,Este,Luis,8,899.99,7199.92,3629.0,3570.92,3,1,2023
2023-03-25,Mouse,Accesorios,Sur,Pedro,6,29.99,179.94,77.12,102.82,3,1,2023
2023-03-25,Teclado,Accesorios,Norte,Ana,8,79.99,639.92,355.2,284.72,3,1,2023
2023-03-26,Laptop,Computadoras,Oeste,Luis,18,899.99,16199.82,7359.28,8840.54,3,1,2023
2023-03-26,Mouse,Accesorios,Norte,María,3,29.99,89.97,44.93,45.04,3,1,2023
2023-03-26,Teclado,Accesorios,Norte,Luis,12,79.99,959.88,438.53,521.35,3,1,2023
2023-03-27,Laptop,Computadoras,Este,Pedro,3,899.99,2699.97,1152.25,1547.72,3,1,2023
2023-03-27,Mouse,Accesorios,Este,Ana,6,29.99,179.94,94.63,85.31,3,1,2023
2023-03-27,Teclado,Accesorios,Sur,Ana,2,79.99,159.98,65.73,94.25,3,1,2023
2023-03-28,Laptop,Computadoras,Oeste,Pedro,12,899.99,10799.88,5937.01,4862.87,3,1,2023
2023-03-28,Mouse,Accesorios,Este,Pedro,2,29.99,59.98,27.8,32.18,3,1,2023
2023-03-28,Teclado,Accesorios,Norte,María,6,79.99,479.94,191.99,287.95,3,1,2023
2023-03-29,Laptop,Computadoras,Sur,Ana,17,899.99,15299.83,7683.97,7615.86,3,1,2023
2023-03-29,Mouse,Accesorios,Norte,Luis,3,29.99,89.97,36.83,53.14,3,1,2023
2023-03-29,Teclado,Accesorios,Norte,Carlos,2,79.99,159.98,72.83,87.15,3,1,2023
2023-03-30,Laptop,Computadoras,Este,Carlos,8,899.99,7199.92,3898.0,3301.92,3,1,2023
2023-03-30,Mouse,Accesorios,Sur,Pedro,12,29.99,359.88,148.46,211.42,3,1,2023
