id,nombre,categoria,precio,cantidad,fecha
55,Producto_55,Deportes,441.88,74,2023-02-24
56,Producto_56,Ropa,661.72,97,2023-02-25
57,Producto_57,Ropa,443.34,8,2023-02-26
58,Producto_58,Electrónica,283.99,49,2023-02-27
59,Producto_59,Deportes,562.59,24,2023-02-28
60,Producto_60,Electrónica,353.53,33,2023-03-01
61,Producto_61,Deportes,933.54,19,2023-03-02
62,Producto_62,Deportes,923.42,2,2023-03-03
63,Producto_63,Electrónica,507.35,55,2023-03-04
64,Producto_64,Electrónica,334.61,11,2023-03-05
65,Producto_65,Deportes,739.76,99,2023-03-06
66,Producto_66,Hogar,46.35,17,2023-03-07
67,Producto_67,Ropa,480.02,42,2023-03-08
68,Producto_68,Electrónica,342.96,61,2023-03-09
69,Producto_69,Ropa,921.33,3,2023-03-10
70,Producto_70,Hogar,21.88,86,2023-03-11
71,Producto_71,Hogar,557.29,35,2023-03-12
72,Producto_72,Hogar,743.26,85,2023-03-13
73,Producto_73,Electrónica,490.17,89,2023-03-14
74,Producto_74,Hogar,94.55,66,2023-03-15
75,Producto_75,Electrónica,972.74,1,2023-03-16
76,Producto_76,Hogar,522.83,7,2023-03-17
77,Producto_77,Ropa,618.04,20,2023-03-18
78,Producto_78,Ropa,244.24,43,2023-03-19
79,Producto_79,Deportes,488.66,6,2023-03-20
80,Producto_80,Ropa,434.86,55,2023-03-21
81,Producto_81,Deportes,84.15,21,2023-03-22
82,Producto_82,Ropa,115.1,51,2023-03-23
83,Producto_83,Electrónica,839.1,46,2023-03-24
84,Producto_84,Ropa,247.42,35,2023-03-25
85,Producto_85,Deportes,203.01,8,2023-03-26
86,Producto_86,Deportes,509.86,68,2023-03-27
87,Producto_87,Hogar,771.06,16,2023-03-28
88,Producto_88,Electrónica,71.33,67,2023-03-29
89,Producto_89,Ropa,581.04,71,2023-03-30
90,Producto_90,Hogar,128.02,64,2023-03-31
91,Producto_91,Ropa,46.1,2,2023-04-01
92,Producto_92,Ropa,62.22,1,2023-04-02
93,Producto_93,Hogar,835.82,58,2023-04-03
94,Producto_94,Hogar,126.79,1,2023-04-04
95,Producto_95,Hogar,54.7,7,2023-04-05
96,Producto_96,Hogar,443.52,88,2023-04-06
97,Producto_97,Hogar,845.55,69,2023-04-07
98,Producto_98,Ropa,269.78,85,2023-04-08
99,Producto_99,Hogar,427.5,92,2023-04-09
100,Producto_100,Electrónica,49.52,18,2023-04-10
101,Producto_101,Deportes,454.59,88,2023-04-11
102,Producto_102,Hogar,581.84,32,2023-04-12
103,Producto_103,Hogar,575.2,45,2023-04-13
104,Producto_104,Ropa,339.1,33,2023-04-14
105,Producto_105,Hogar,322.38,74,2023-04-15
106,Producto_106,Hogar,115.56,73,2023-04-16
107,Producto_107,Hogar,373.13,49,2023-04-17
108,Producto_108,Ropa,108.5,33,2023-04-18
109,Producto_109,Hogar,768.93,97,2023-04-19
110,Producto_110,Deportes,966.61,71,2023-04-20
111,Producto_111,Ropa,970.37,68,2023-04-21
112,Producto_112,Deportes,866.42,28,2023-04-22
113,Producto_113,Ropa,604.78,87,2023-04-23
114,Producto_114,Hogar,703.86,53,2023-04-24
115,Producto_115,Deportes,292.35,96,2023-04-25
116,Producto_116,Ropa,634.46,44,2023-04-26
117,Producto_117,Electrónica,461.09,80,2023-04-27
118,Producto_118,Hogar,487.2,55,2023-04-28
119,Producto_119,Ropa,760.2,10,2023-04-29
120,Producto_120,Electrónica,289.1,14,2023-04-30
121,Producto_121,Ropa,324.86,36,2023-05-01
122,Producto_122,Electrónica,925.4,34,2023-05-02
123,Producto_123,Hogar,65.66,88,2023-05-03
124,Producto_124,Deportes,490.78,18,2023-05-04
125,Producto_125,Electrónica,913.67,16,2023-05-05
126,Producto_126,Ropa,614.26,37,2023-05-06
127,Producto_127,Hogar,550.94,41,2023-05-07
128,Producto_128,Electrónica,257.25,25,2023-05-08
129,Producto_129,Ropa,349.84,8,2023-05-09
130,Producto_130,Ropa,853.53,88,2023-05-10
131,Producto_131,Ropa,563.63,84,2023-05-11
132,Producto_132,Electrónica,519.59,94,2023-05-12
133,Producto_133,Electrónica,108.58,84,2023-05-13
134,Producto_134,Electrónica,25.87,18,2023-05-14
135,Producto_135,Deportes,964.05,68,2023-05-15
136,Producto_136,Electrónica,383.22,48,2023-05-16
137,Producto_137,Electrónica,607.18,70,2023-05-17
138,Producto_138,Electrónica,88.92,67,2023-05-18
139,Producto_139,Deportes,686.28,18,2023-05-19
140,Producto_140,Electrónica,933.24,18,2023-05-20
141,Producto_141,Ropa,579.91,56,2023-05-21
142,Producto_142,Electrónica,134.85,23,2023-05-22
143,Producto_143,Ropa,585.9,35,2023-05-23
144,Producto_144,Ropa,768.68,6,2023-05-24
145,Producto_145,Ropa,412.35,26,2023-05-25
146,Producto_146,Deportes,881.04,85,2023-05-26
147,Producto_147,Deportes,652.2,61,2023-05-27
148,Producto_148,Deportes,900.26,88,2023-05-28
149,Producto_149,Electrónica,627.27,15,2023-05-29
150,Producto_150,Ropa,139.98,91,2023-05-30
151,Producto_151,Deportes,316.59,32,2023-05-31
152,Producto_152,Deportes,209.78,12,2023-06-01
153,Producto_153,Electrónica,909.74,5,2023-06-02
154,Producto_154,Deportes,762.8,64,2023-06-03
155,Producto_155,Electrónica,679.63,71,2023-06-04
156,Producto_156,Hogar,307.96,86,2023-06-05
157,Producto_157,Deportes,192.2,27,2023-06-06
158,Producto_158,Hogar,758.89,79,2023-06-07
159,Producto_159,Electrónica,479.42,45,2023-06-08
160,Producto_160,Ropa,233.53,35,2023-06-09
161,Producto_161,Deportes,620.46,26,2023-06-10
162,Producto_162,Electrónica,49.93,23,2023-06-11
163,Producto_163,Ropa,332.91,13,2023-06-12
164,Producto_164,Ropa,473.87,90,2023-06-13
165,Producto_165,Hogar,156.48,3,2023-06-14
166,Producto_166,Electrónica,984.81,29,2023-06-15
167,Producto_167,Ropa,217.01,66,2023-06-16
168,Producto_168,Deportes,139.05,64,2023-06-17
169,Producto_169,Deportes,211.5,28,2023-06-18
170,Producto_170,Hogar,771.37,87,2023-06-19
171,Producto_171,Ropa,431.25,36,2023-06-20
172,Producto_172,Electrónica,569.76,6,2023-06-21
173,Producto_173,Deportes,30.8,11,2023-06-22
174,Producto_174,Ropa,44.09,38,2023-06-23
175,Producto_175,Ropa,451.37,34,2023-06-24
176,Producto_176,Hogar,818.49,81,2023-06-25
177,Producto_177,Deportes,886.39,67,2023-06-26
178,Producto_178,Deportes,95.84,46,2023-06-27
179,Producto_179,Electrónica,542.98,98,2023-06-28
180,Producto_180,Deportes,914.1,86,2023-06-29
181,Producto_181,Electrónica,394.09,29,2023-06-30
182,Producto_182,Deportes,831.27,60,2023-07-01
183,Producto_183,Hogar,142.36,54,2023-07-02
184,Producto_184,Deportes,936.04,93,2023-07-03
185,Producto_185,Electrónica,753.91,69,2023-07-04
186,Producto_186,Electrónica,941.92,74,2023-07-05
187,Producto_187,Hogar,679.85,74,2023-07-06
188,Producto_188,Deportes,369.77,9,2023-07-07
189,Producto_189,Deportes,938.8,85,2023-07-08
190,Producto_190,Hogar,282.81,77,2023-07-09
191,Producto_191,Deportes,338.85,10,2023-07-10
192,Producto_192,Deportes,703.8,75,2023-07-11
193,Producto_193,Electrónica,767.66,68,2023-07-12
194,Producto_194,Deportes,930.11,58,2023-07-13
195,Producto_195,Deportes,212.75,95,2023-07-14
196,Producto_196,Hogar,800.02,52,2023-07-15
197,Producto_197,Hogar,741.16,34,2023-07-16
198,Producto_198,Ropa,73.16,35,2023-07-17
199,Producto_199,Electrónica,393.35,33,2023-07-18
200,Producto_200,Deportes,289.94,72,2023-07-19
201,Producto_201,Deportes,311.45,32,2023-07-20
202,Producto_202,Ropa,983.12,55,2023-07-21
203,Producto_203,Deportes,646.35,97,2023-07-22
204,Producto_204,Electrónica,720.5,8,2023-07-23
205,Producto_205,Ropa,976.85,46,2023-07-24
206,Producto_206,Electrónica,383.43,14,2023-07-25
207,Producto_207,Ropa,803.82,98,2023-07-26
208,Producto_208,Ropa,440.19,8,2023-07-27
209,Producto_209,Hogar,870.84,71,2023-07-28
210,Producto_210,Electrónica,188.85,77,2023-07-29
211,Producto_211,Deportes,948.21,54,2023-07-30
212,Producto_212,Deportes,226.58,21,2023-07-31
213,Producto_213,Electrónica,332.96,96,2023-08-01
214,Producto_214,Deportes,758.63,75,2023-08-02
215,Producto_215,Deportes,399.82,14,2023-08-03
216,Producto_216,Electrónica,612.13,75,2023-08-04
217,Producto_217,Ropa,450.13,2,2023-08-05
218,Producto_218,Electrónica,744.95,98,2023-08-06
219,Producto_219,Ropa,236.05,61,2023-08-07
220,Producto_220,Deportes,67.87,17,2023-08-08
221,Producto_221,Deportes,306.93,78,2023-08-09
222,Producto_222,Deportes,479.57,89,2023-08-10
223,Producto_223,Hogar,176.34,48,2023-08-11
224,Producto_224,Ropa,361.25,91,2023-08-12
225,Producto_225,Hogar,405.98,8,2023-08-13
226,Producto_226,Hogar,66.82,56,2023-08-14
227,Producto_227,Electrónica,587.47,17,2023-08-15
228,Producto_228,Hogar,885.5,69,2023-08-16
229,Producto_229,Electrónica,160.23,12,2023-08-17
230,Producto_230,Electrónica,601.83,38,2023-08-18
231,Producto_231,Hogar,668.09,18,2023-08-19
232,Producto_232,Ropa,425.14,26,2023-08-20
233,Producto_233,Ropa,704.09,95,2023-08-21
234,Producto_234,Ropa,416.62,37,2023-08-22
235,Producto_235,Ropa,509.59,70,2023-08-23
236,Producto_236,Ropa,17.28,41,2023-08-24
237,Producto_237,Hogar,694.8,79,2023-08-25
238,Producto_238,Hogar,664.73,42,2023-08-26
239,Producto_239,Deportes,48.02,90,2023-08-27
240,Producto_240,Ropa,374.57,76,2023-08-28
241,Producto_241,Hogar,979.24,41,2023-08-29
242,Producto_242,Deportes,426.53,47,2023-08-30
243,Producto_243,Ropa,506.93,14,2023-08-31
244,Producto_244,Electrónica,910.83,1,2023-09-01
245,Producto_245,Deportes,720.09,17,2023-09-02
246,Producto_246,Hogar,586.25,97,2023-09-03
247,Producto_247,Electrónica,799.83,55,2023-09-04
248,Producto_248,Electrónica,865.72,93,2023-09-05
249,Producto_249,Electrónica,462.32,53,2023-09-06
250,Producto_250,Deportes,480.36,31,2023-09-07
251,Producto_251,Hogar,392.19,62,2023-09-08
252,Producto_252,Electrónica,967.04,8,2023-09-09
253,Producto_253,Ropa,700.19,30,2023-09-10
254,Producto_254,Electrónica,92.39,77,2023-09-11
255,Producto_255,Electrónica,864.33,80,2023-09-12
256,Producto_256,Deportes,485.75,66,2023-09-13
257,Producto_257,Deportes,78.07,45,2023-09-14
258,Producto_258,Hogar,554.22,18,2023-09-15
259,Producto_259,Ropa,422.99,99,2023-09-16
260,Producto_260,Deportes,878.97,45,2023-09-17
261,Producto_261,Electrónica,211.95,19,2023-09-18
262,Producto_262,Hogar,828.2,77,2023-09-19
263,Producto_263,Electrónica,562.11,68,2023-09-20
264,Producto_264,Electrónica,64.06,83,2023-09-21
265,Producto_265,Deportes,972.13,50,2023-09-22
266,Producto_266,Hogar,517.49,25,2023-09-23
267,Producto_267,Ropa,297.97,38,2023-09-24
268,Producto_268,Ropa,474.71,95,2023-09-25
269,Producto_269,Deportes,859.28,36,2023-09-26
270,Producto_270,Deportes,311.85,68,2023-09-27
271,Producto_271,Hogar,200.75,56,2023-09-28
272,Producto_272,Ropa,137.78,39,2023-09-29
273,Producto_273,Ropa,304.88,63,2023-09-30
274,Producto_274,Ropa,782.25,7,2023-10-01
275,Producto_275,Electrónica,476.91,58,2023-10-02
276,Producto_276,Ropa,235.21,80,2023-10-03
277,Producto_277,Electrónica,174.52,59,2023-10-04
278,Producto_278,Hogar,339.4,48,2023-10-05
279,Producto_279,Electrónica,940.53,5,2023-10-06
280,Producto_280,Hogar,349.6,87,2023-10-07
281,Producto_281,Ropa,988.24,36,2023-10-08
282,Producto_282,Ropa,490.38,96,2023-10-09
283,Producto_283,Hogar,187.37,88,2023-10-10
284,Producto_284,Deportes,892.23,25,2023-10-11
285,Producto_285,Hogar,465.75,45,2023-10-12
286,Producto_286,Deportes,712.57,92,2023-10-13
287,Producto_287,Electrónica,983.87,19,2023-10-14
288,Producto_288,Electrónica,59.67,7,2023-10-15
289,Producto_289,Electrónica,105.73,58,2023-10-16
290,Producto_290,Ropa,723.25,81,2023-10-17
291,Producto_291,Electrónica,289.01,66,2023-10-18
292,Producto_292,Deportes,192.46,80,2023-10-19
293,Producto_293,Electrónica,48.97,39,2023-10-20
294,Producto_294,Hogar,31.63,18,2023-10-21
295,Producto_295,Hogar,776.74,1,2023-10-22
296,Producto_296,Ropa,143.09,63,2023-10-23
297,Producto_297,Hogar,473.04,3,2023-10-24
298,Producto_298,Deportes,609.84,21,2023-10-25
299,Producto_299,Electrónica,434.07,30,2023-10-26
300,Producto_300,Ropa,36.84,11,2023-10-27
301,Producto_301,Electrónica,785.67,22,2023-10-28
302,Producto_302,Electrónica,20.41,57,2023-10-29
303,Producto_303,Deportes,764.27,89,2023-10-30
304,Producto_304,Hogar,894.37,3,2023-10-31
305,Producto_305,Hogar,438.51,30,2023-11-01
306,Producto_306,Electrónica,540.19,88,2023-11-02
307,Producto_307,Ropa,482.21,45,2023-11-03
308,Producto_308,Hogar,395.32,36,2023-11-04
309,Producto_309,Ropa,888.55,87,2023-11-05
310,Producto_310,Hogar,894.99,72,2023-11-06
311,Producto_311,Ropa,342.46,64,2023-11-07
312,Producto_312,Deportes,618.92,54,2023-11-08
313,Producto_313,Ropa,927.64,68,2023-11-09
314,Producto_314,Deportes,962.44,50,2023-11-10
315,Producto_315,Deportes,513.87,31,2023-11-11
316,Producto_316,Ropa,458.3,29,2023-11-12
317,Producto_317,Deportes,285.91,59,2023-11-13
318,Producto_318,Electrónica,959.28,36,2023-11-14
319,Producto_319,Deportes,151.39,77,2023-11-15
320,Producto_320,Hogar,584.03,73,2023-11-16
321,Producto_321,Ropa,289.72,85,2023-11-17
322,Producto_322,Electrónica,286.22,67,2023-11-18
323,Producto_323,Ropa,410.92,89,2023-11-19
324,Producto_324,Hogar,998.81,89,2023-11-20
325,Producto_325,Hogar,64.42,76,2023-11-21
326,Producto_326,Hogar,582.76,93,2023-11-22
327,Producto_327,Deportes,91.75,11,2023-11-23
328,Producto_328,Deportes,162.98,11,2023-11-24
329,Producto_329,Ropa,445.17,26,2023-11-25
330,Producto_330,Ropa,515.36,53,2023-11-26
331,Producto_331,Electrónica,266.2,14,2023-11-27
332,Producto_332,Electrónica,323.29,64,2023-11-28
333,Producto_333,Ropa,96.1,80,2023-11-29
334,Producto_334,Deportes,310.19,10,2023-11-30
335,Producto_335,Hogar,966.89,31,2023-12-01
336,Producto_336,Ropa,945.26,95,2023-12-02
337,Producto_337,Electrónica,341.53,36,2023-12-03
338,Producto_338,Deportes,575.15,10,2023-12-04
339,Producto_339,Ropa,910.5,26,2023-12-05
340,Producto_340,Ropa,16.12,20,2023-12-06
341,Producto_341,Deportes,812.58,44,2023-12-07
342,Producto_342,Ropa,948.89,62,2023-12-08
343,Producto_343,Deportes,100.41,73,2023-12-09
344,Producto_344,Hogar,169.83,79,2023-12-10
345,Producto_345,Deportes,961.14,9,2023-12-11
346,Producto_346,Deportes,542.16,71,2023-12-12
347,Producto_347,Deportes,24.05,90,2023-12-13
348,Producto_348,Ropa,265.06,24,2023-12-14
349,Producto_349,Ropa,455.44,12,2023-12-15
350,Producto_350,Deportes,695.98,60,2023-12-16
351,Producto_351,Ropa,735.83,84,2023-12-17
352,Producto_352,Electrónica,995.47,78,2023-12-18
353,Producto_353,Electrónica,294.64,86,2023-12-19
354,Producto_354,Ropa,542.84,16,2023-12-20
355,Producto_355,Ropa,537.99,29,2023-12-21
356,Producto_356,Deportes,411.59,32,2023-12-22
357,Producto_357,Hogar,177.47,83,2023-12-23
358,Producto_358,Ropa,977.68,35,2023-12-24
359,Producto_359,Electrónica,854.78,43,2023-12-25
360,Producto_360,Deportes,503.35,96,2023-12-26
361,Producto_361,Ropa,607.21,53,2023-12-27
362,Producto_362,Electrónica,234.99,20,2023-12-28
363,Producto_363,Electrónica,548.35,84,2023-12-29
364,Producto_364,Hogar,698.02,8,2023-12-30
365,Producto_365,Deportes,520.02,99,2023-12-31
366,Producto_366,Deportes,990.38,42,2024-01-01
367,Producto_367,Hogar,615.23,77,2024-01-02
368,Producto_368,Hogar,377.26,70,2024-01-03
369,Producto_369,Deportes,774.43,16,2024-01-04
370,Producto_370,Deportes,178.76,69,2024-01-05
371,Producto_371,Ropa,390.67,53,2024-01-06
372,Producto_372,Ropa,353.49,45,2024-01-07
373,Producto_373,Hogar,437.49,51,2024-01-08
374,Producto_374,Ropa,783.96,98,2024-01-09
375,Producto_375,Electrónica,489.33,6,2024-01-10
376,Producto_376,Ropa,796.07,33,2024-01-11
377,Producto_377,Ropa,580.72,79,2024-01-12
378,Producto_378,Electrónica,348.65,15,2024-01-13
379,Producto_379,Hogar,811.88,14,2024-01-14
380,Producto_380,Electrónica,245.91,39,2024-01-15
381,Producto_381,Ropa,232.14,63,2024-01-16
382,Producto_382,Hogar,509.46,5,2024-01-17
383,Producto_383,Ropa,268.24,90,2024-01-18
384,Producto_384,Electrónica,19.0,81,2024-01-19
385,Producto_385,Electrónica,651.81,52,2024-01-20
386,Producto_386,Ropa,515.98,16,2024-01-21
387,Producto_387,Deportes,451.06,99,2024-01-22
388,Producto_388,Deportes,967.3,38,2024-01-23
389,Producto_389,Electrónica,575.49,53,2024-01-24
390,Producto_390,Electrónica,864.8,87,2024-01-25
391,Producto_391,Deportes,148.06,77,2024-01-26
392,Producto_392,Deportes,573.51,97,2024-01-27
393,Producto_393,Ropa,869.3,93,2024-01-28
394,Producto_394,Ropa,587.27,53,2024-01-29
395,Producto_395,Deportes,720.83,46,2024-01-30
396,Producto_396,Ropa,378.32,98,2024-01-31
397,Producto_397,Ropa,101.53,98,2024-02-01
398,Producto_398,Hogar,463.32,91,2024-02-02
399,Producto_399,Ropa,400.53,15,2024-02-03
400,Producto_400,Electrónica,868.39,59,2024-02-04
401,Producto_401,Ropa,251.56,50,2024-02-05
402,Producto_402,Ropa,967.07,9,2024-02-06
403,Producto_403,Deportes,958.56,26,2024-02-07
404,Producto_404,Electrónica,255.16,3,2024-02-08
405,Producto_405,Ropa,354.57,47,2024-02-09
406,Producto_406,Ropa,896.6,5,2024-02-10
407,Producto_407,Hogar,966.96,62,2024-02-11
408,Producto_408,Ropa,449.0,84,2024-02-12
409,Producto_409,Ropa,327.79,84,2024-02-13
410,Producto_410,Hogar,530.83,5,2024-02-14
411,Producto_411,Deportes,690.89,10,2024-02-15
412,Producto_412,Ropa,280.74,80,2024-02-16
413,Producto_413,Hogar,739.11,63,2024-02-17
414,Producto_414,Electrónica,61.14,25,2024-02-18
415,Producto_415,Deportes,58.8,44,2024-02-19
416,Producto_416,Electrónica,392.42,25,2024-02-20
417,Producto_417,Electrónica,359.94,30,2024-02-21
418,Producto_418,Hogar,322.48,14,2024-02-22
419,Producto_419,Ropa,496.11,86,2024-02-23
420,Producto_420,Hogar,327.53,43,2024-02-24
421,Producto_421,Hogar,200.34,28,2024-02-25
422,Producto_422,Hogar,316.37,94,2024-02-26
423,Producto_423,Hogar,975.16,19,2024-02-27
424,Producto_424,Deportes,417.0,42,2024-02-28
425,Producto_425,Ropa,450.27,20,2024-02-29
426,Producto_426,Electrónica,580.78,99,2024-03-01
427,Producto_427,Electrónica,983.51,86,2024-03-02
428,Producto_428,Ropa,249.19,79,2024-03-03
429,Producto_429,Electrónica,684.47,11,2024-03-04
430,Producto_430,Ropa,718.82,54,2024-03-05
431,Producto_431,Electrónica,611.25,98,2024-03-06
432,Producto_432,Hogar,97.69,24,2024-03-07
433,Producto_433,Electrónica,680.1,70,2024-03-08
434,Producto_434,Ropa,73.45,17,2024-03-09
435,Producto_435,Ropa,600.18,28,2024-03-10
436,Producto_436,Ropa,742.19,50,2024-03-11
437,Producto_437,Ropa,218.86,95,2024-03-12
438,Producto_438,Ropa,843.21,55,2024-03-13
439,Producto_439,Deportes,40.05,73,2024-03-14
440,Producto_440,Deportes,845.37,10,2024-03-15
441,Producto_441,Electrónica,465.73,21,2024-03-16
442,Producto_442,Ropa,225.41,58,2024-03-17
443,Producto_443,Electrónica,142.44,34,2024-03-18
444,Producto_444,Ropa,953.77,95,2024-03-19
445,Producto_445,Ropa,81.94,93,2024-03-20
446,Producto_446,Deportes,207.1,43,2024-03-21
447,Producto_447,Deportes,354.34,11,2024-03-22
448,Producto_448,Hogar,624.03,33,2024-03-23
449,Producto_449,Deportes,549.35,58,2024-03-24
450,Producto_450,Hogar,134.39,46,2024-03-25
451,Producto_451,Hogar,296.83,61,2024-03-26
452,Producto_452,Hogar,246.36,62,2024-03-27
453,Producto_453,Hogar,221.41,1,2024-03-28
454,Producto_454,Hogar,417.03,21,2024-03-29
455,Producto_455,Electrónica,706.99,62,2024-03-30
456,Producto_456,Deportes,225.28,64,2024-03-31
457,Producto_457,Hogar,373.01,87,2024-04-01
458,Producto_458,Ropa,397.01,73,2024-04-02
459,Producto_459,Deportes,976.69,56,2024-04-03
460,Producto_460,Deportes,955.12,1,2024-04-04
461,Producto_461,Hogar,802.14,21,2024-04-05
462,Producto_462,Electrónica,249.24,22,2024-04-06
463,Producto_463,Hogar,77.36,54,2024-04-07
464,Producto_464,Electrónica,323.74,4,2024-04-08
465,Producto_465,Ropa,274.13,65,2024-04-09
466,Producto_466,Deportes,510.87,51,2024-04-10
467,Producto_467,Ropa,779.95,74,2024-04-11
468,Producto_468,Electrónica,859.74,63,2024-04-12
469,Producto_469,Electrónica,846.42,15,2024-04-13
470,Producto_470,Ropa,366.08,36,2024-04-14
471,Producto_471,Electrónica,690.36,29,2024-04-15
472,Producto_472,Ropa,319.71,52,2024-04-16
473,Producto_473,Deportes,70.3,46,2024-04-17
474,Producto_474,Ropa,704.55,69,2024-04-18
475,Producto_475,Deportes,19.73,29,2024-04-19
476,Producto_476,Ropa,415.09,47,2024-04-20
477,Producto_477,Electrónica,336.09,91,2024-04-21
478,Producto_478,Ropa,696.44,25,2024-04-22
479,Producto_479,Electrónica,768.58,80,2024-04-23
480,Producto_480,Ropa,311.05,16,2024-04-24
481,Producto_481,Ropa,813.51,89,2024-04-25
482,Producto_482,Hogar,300.98,41,2024-04-26
483,Producto_483,Electrónica,451.86,65,2024-04-27
484,Producto_484,Hogar,729.75,69,2024-04-28
485,Producto_485,Electrónica,695.99,20,2024-04-29
486,Producto_486,Hogar,987.49,69,2024-04-30
487,Producto_487,Deportes,232.91,36,2024-05-01
488,Producto_488,Ropa,665.69,93,2024-05-02
489,Producto_489,Electrónica,613.59,98,2024-05-03
490,Producto_490,Electrónica,915.95,58,2024-05-04
491,Producto_491,Ropa,164.8,48,2024-05-05
492,Producto_492,Electrónica,754.28,82,2024-05-06
493,Producto_493,Electrónica,572.59,2,2024-05-07
494,Producto_494,Hogar,281.92,80,2024-05-08
495,Producto_495,Electrónica,479.69,29,2024-05-09
496,Producto_496,Deportes,340.44,97,2024-05-10
497,Producto_497,Deportes,583.52,16,2024-05-11
498,Producto_498,Ropa,890.11,35,2024-05-12
499,Producto_499,Electrónica,573.61,62,2024-05-13
500,Producto_500,Ropa,635.41,81,2024-05-14
501,Producto_501,Deportes,523.56,4,2024-05-15
502,Producto_502,Electrónica,60.65,68,2024-05-16
503,Producto_503,Electrónica,240.53,51,2024-05-17
504,Producto_504,Ropa,497.08,89,2024-05-18
505,Producto_505,Deportes,317.13,33,2024-05-19
506,Producto_506,Electrónica,189.95,78,2024-05-20
507,Producto_507,Ropa,509.09,24,2024-05-21
508,Producto_508,Deportes,329.58,75,2024-05-22
509,Producto_509,Ropa,265.53,25,2024-05-23
510,Producto_510,Hogar,469.35,28,2024-05-24
511,Producto_511,Electrónica,141.95,7,2024-05-25
512,Producto_512,Hogar,928.47,36,2024-05-26
513,Producto_513,Deportes,869.03,10,2024-05-27
514,Producto_514,Hogar,710.54,36,2024-05-28
515,Producto_515,Hogar,115.15,95,2024-05-29
516,Producto_516,Deportes,778.12,83,2024-05-30
517,Producto_517,Ropa,809.88,18,2024-05-31
518,Producto_518,Hogar,770.09,6,2024-06-01
519,Producto_519,Ropa,122.83,92,2024-06-02
520,Producto_520,Hogar,647.47,7,2024-06-03
521,Producto_521,Ropa,835.98,12,2024-06-04
522,Producto_522,Deportes,581.58,41,2024-06-05
523,Producto_523,Hogar,649.94,63,2024-06-06
524,Producto_524,Deportes,463.78,98,2024-06-07
525,Producto_525,Hogar,533.42,25,2024-06-08
526,Producto_526,Deportes,44.03,81,2024-06-09
527,Producto_527,Deportes,642.57,53,2024-06-10
528,Producto_528,Hogar,90.63,33,2024-06-11
529,Producto_529,Hogar,440.66,87,2024-06-12
530,Producto_530,Hogar,299.73,73,2024-06-13
531,Producto_531,Electrónica,549.97,6,2024-06-14
